OID_,bld_name_e,bld_name_c,bld_address,bld_ac_type,bld_year,bld_passenger,bld_service,bld_starting_oper,bld_opr_hrs,bld_start_opr_weekend,bld_opr_hrs_weekend,x,y,ELABEL,retail,parking,office,hotel,food,ghi,wind10m,td_cdd,LULCM,ndvi,ndbi,BH,podium,area,highrise,area_1,Dist_mtr,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
2937,Bonsun Industrial Building,萬象工業大廈,"364 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1973,,,,,,,830340,825444,TSUEN WAN STATION,1171.086304,96.1941681,5116.251953,0,614.6747437,1429.95398,3.1476197,2.61452509,21,0.0179903,0.1049383,24.045908,1,3115,1,1588,637.6078315,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2938,Hi-Tech Industrial Centre Block B,嘉力工業中心B座,"5-21 Pak Tin Par Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1989,,,,,,,829397.158,826158.664,TSUEN WAN WEST STATION,345.6504822,178.9767761,312.5858765,0,288.6985168,1423.379028,1.7097902,2.507078853,11,0.1761194,-0.0581916,16.7606392,1,5911,1,3160,742.1094731,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2939,Goodman Texaco Centre,嘉民德高中心,"126-140 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1988,3,6,,,,,830403,825021,TAI WO HAU STATION,127.1335907,0,811.8353271,0,136.3379669,1431.780029,2.9863093,2.650340502,21,0.0265001,-0.1771375,21.7222843,1,3977,1,3027,900.6258224,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2940,Tsuen Wan International Centre,荃灣國際中心,"58-70 Wang Lung Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1994,2,11,,,,,830154,825090,TSUEN WAN WEST STATION,127.5587006,92.1915207,1018.313538,0,93.7960815,1431.780029,3.4563811,2.650340502,23,0.1037329,0.1022277,141.7109375,1,2568,1,2764,829.0512483,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2941,Young Ya Industrial Building,榮亞工業大廈,"381-389 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1979,,,,,,,830446,825413,TAI WO HAU STATION,0,0,0,0,0,1430.31897,3.1476197,2.61452509,21,0.031864,0.0696672,18.0329876,1,3150,1,3293,600.0347042,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2942,Dynamic Cargo Centre,達力貨櫃中心,"188 Yeung Uk Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1998,,,,,,,830421,825122,TAI WO HAU STATION,155.9584656,76.0322418,525.0927734,0,104.2477951,1422.284058,2.9863093,2.650340502,23,-0.0154265,-0.1445147,160.1414948,1,5654,1,3064,811.0187199,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2943,Far East Centre,遠東中心,"135-143 Castle Peak Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1965,,,,,,,830335.2,825756.8,TSUEN WAN STATION,1992.439087,9.0231438,0,188.355896,285.3882141,1431.415039,2.2609556,2.578709678,11,0.3830692,-0.0793363,58.4500961,1,536,1,607,344.8656054,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2944,Waylee Industrial Centre,匯利工業中心,"30-38 Tsuen King Circuit, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1980,,,,,,,829509,826498,TSUEN WAN STATION,9.475955,0,0,0,0,1411.32605,1.7021402,2.471263441,32,0.1754235,-0.0377693,28.4325008,1,30046,1,1994,791.3009028,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2945,Ming Wah Industrial Building,明華工業大廈,"17-33 Wang Lung Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1979,,,,,,,829951,825203,TSUEN WAN WEST STATION,295.987915,95.8756027,1704.223389,0,102.9420547,1432.51001,2.2525949,2.61452509,21,0.0501953,0.0910229,14.8001432,1,10407,0,,598.4295761,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2946,ADP Pentagon Centre,五方集團中心,"98 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1989,,,,,,,830495,825209,TAI WO HAU STATION,145.1802521,12.2463322,541.3464966,0,0,1422.284058,3.1476197,2.650340502,21,0.1100372,0.0023388,22.755497,1,4833,1,726,696.8108099,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2947,Goodman Texaco Centre,嘉民德高中心,"126-140 Texaco Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1988,3,6,,,,,830403,825021,TAI WO HAU STATION,127.1335907,0,811.8353271,0,136.3379669,1431.780029,2.9863093,2.650340502,21,0.0265001,-0.1771375,21.7222843,1,3977,1,3027,900.6258224,,,,NO,NO,NO,NO,NO,,,,,,,,,,
