full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"JADE CENTRE, 98 WELLINGTON STREET, Central, Hong Kong","翡翠中心, 香港中環威靈頓街98號",766.98,213.05,2.328481539,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,47,yes,yes,,
"Jade Court (Commercial portion), 35A Belcher's Street, Kennedy Town, Hong Kong","翡翠閣, 香港堅尼地城卑路乍街35A號",164.65,45.74,1.66029616,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,150,yes,yes,,
"Jardine House, 1 Connaught Place, Central, Hong Kong","怡和大廈, 香港中環康樂廣場1號",475.03,131.95,2.120409395,NO,YES,NO,YES,NO,2018,5/5/2021,retro_after,48,1,108,yes,,,
"Jim's Commercial Building, 102-104 Des Voeux Rd C, Sheung Wan, Hong Kong","詹氏商業大廈, 香港上環德輔道中102-104號",133.05,36.96,1.567731963,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,40,yes,,,
"Jumbo Building, 201 Aberdeen Main Road, Aberdeen, Hong Kong","珍寶大廈, 香港香港仔香港仔大道201號",1073.41,298.17,2.474463945,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,208,yes,yes,,
"Ka On Building, 8-14 Connaught Rd W, Sheung Wan, Hong Kong","嘉安大廈, 香港上環干諾道西8-14號",79.37,22.05,1.343408594,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,142,yes,yes,,
"Ka Wah Bank Centre, 232 Des Voeux Rd C, Central, Hong Kong","嘉華銀行中心, 香港中環德輔道中232號",341.28,94.8,1.976808337,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,1,22,yes,,,
"Kai Fat Building, 45-47 Connaught Rd W, Sheung Wan, Hong Kong","啟發大廈, 香港上環干諾道西45-47號",49.41,13.73,1.137670537,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,86,yes,yes,,
"Kai Kwong House, 13-0 Wyndham Street Hong Kong","啟光行, 香港雲咸街13-0號",90.34,25.09,1.399500661,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,7,,,,
"Kai Tak Commercial Building, 317-319 Des Voeux Rd C, Sheung Wan, Hong Kong","啟德商業大廈, 香港上環德輔道中317-319號",112.24,31.18,1.493876111,NO,YES,NO,YES,NO,2018,11/5/2020,retro_after,21,1,160,yes,,,
"Kai Tak Commercial Building, 66-68 Stanley St, Central, Hong Kong","佳德商業大廈, 香港中環士丹利街66-68號",150.98,41.94,1.622628426,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,56,,,,
"Kai Wong Commercial Building, 222-226 Queen's Rd C, Central, Hong Kong","啟煌商業大廈, 香港中環皇后大道中222-226號",64.47,17.91,1.253095586,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,57,yes,yes,,
"Kailey Tower, 16 stanley street, Central, Hong Kong","騏利大廈, 香港中環士丹利街16號",449,124.72,2.095936102,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,1,23,yes,,,
"KAISER CENTRE, 16-22 CENTRE STREET","啟正中心, 正街16-22號",113.96,31.66,1.500510911,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,149,yes,,,
"Kam Bong Building, 14-16 Wing Kut StreetHong Kong","錦邦大廈, 香港永吉街14-16號",105.87,29.41,1.468495025,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,19,,yes,,
"Kam Fai Building, 125-129 Belcher's St, Kennedy Town, Hong Kong","金輝大廈, 香港堅尼地城卑路乍街125-129號",50.57,14.05,1.147676324,NO,NO,NO,YES,NO,2015,5/28/2019,retro_after,13,0,13,,yes,,
"Kam On Building, 129 Wellington St, Central, Hong Kong","錦安大廈, 香港中環威靈頓街129號",198.46,55.13,1.741387992,NO,NO,NO,YES,NO,2018,11/25/2020,retro_after,7,0,36,yes,,,
"Kamming House, 49-51 Queen's Road Central IL 4560 & IL Hong Kong","金銘樓, 香港皇后大道中49-51號",121.51,33.75,1.528273777,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,,,,
